ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
11423,Memories of Murder,2003,4,2016-06-12,False,4.05,1637,131,Crime|Drama|Thriller,2800000.0,26000000.0
259693,The Conjuring 2,2016,5,2016-06-15,True,3.6,5130,134,Horror|Mystery|Thriller,40000000.0,320392818.0
4553,The Machinist,2004,5,2016-06-18,False,3.75,3182,101,Thriller|Drama,5000000.0,8203235.0
181886,Enemy,2013,4,2016-06-18,False,3.45,3651,91,Thriller|Mystery,30000000.0,3396726.0
82633,Lawless,2012,4,2016-06-19,False,3.5,1988,115,Crime|Drama|Western,26000000.0,53676580.0
24253,A Menina Que Brincava Com Fogo,2009,4,2016-06-21,False,3.5,1075,186,Drama|Action|Thriller|Crime|Mystery,4422952.0,67126795.0
426,Vertigo,1958,4,2016-06-21,False,4.1,3347,128,Mystery|Romance|Thriller,2479000.0,28000000.0
23629,Sucker Punch,2011,3,2016-06-23,False,3.05,3233,110,Action|Fantasy|Thriller,82000000.0,89792502.0
262,The King of Comedy,1982,5,2016-06-23,False,3.9,1170,109,Comedy|Drama,20000000.0,151866047.5
451,Leaving Las Vegas,1995,4,2016-06-26,False,3.6,751,112,Drama|Romance,3600000.0,49800000.0
11906,Suspiria,1977,3,2016-06-30,False,3.8,1599,99,Horror,30000000.0,2884265.0
1359,American Psycho,2000,4,2016-06-30,False,3.65,5565,102,Thriller|Drama|Crime|Horror,7000000.0,34266564.0
207,Dead Poets Society,1989,4,2016-07-03,False,4.15,7225,128,Drama,16400000.0,235860116.0
164457,Out of the Furnace,2013,3,2016-07-03,False,3.25,1301,116,Thriller|Drama|Crime,22000000.0,15400000.0
127380,Finding Dory,2016,4,2016-07-03,True,3.5,9077,97,Adventure|Animation|Comedy|Family,200000000.0,1028570889.0
6145,Fracture,2007,3,2016-07-10,False,3.65,2329,113,Thriller,10000000.0,91354215.0
64690,Drive,2011,5,2016-07-14,False,3.75,8287,100,Drama|Thriller|Crime,15000000.0,78054825.0
1538,Collateral,2004,4,2016-07-17,False,3.6,3231,120,Drama|Crime|Thriller,65000000.0,217764291.0
37903,A Fita Branca,2009,3,2016-07-22,False,3.75,588,144,Drama|Mystery,15238800.0,151866047.5
13016,Zeitgeist,2007,3,2016-07-25,False,3.5,302,118,Documentary|History,7000000.0,151866047.5
2118,L.A. Confidential,1997,4,2016-07-25,False,3.9,2868,138,Crime|Mystery|Drama|Thriller,35000000.0,126216940.0
10734,Escape From Alcatraz,1979,3,2016-07-31,False,3.75,1576,111,Crime|Drama,8000000.0,43000000.0
256917,The Water Diviner,2014,3,2016-08-01,False,3.4,804,112,War|Drama,22500000.0,15520023.0
297761,Suicide Squad,2016,3,2016-08-05,True,2.95,15721,123,Action|Adventure|Crime|Fantasy|Science Fiction,175000000.0,746846894.0
1480,Touch Of Evil,1958,4,2016-08-09,False,3.9,822,95,Thriller|Crime,829000.0,2247465.0
290250,The Nice Guys,2016,4,2016-08-13,False,3.55,5225,116,Comedy|Crime|Action,50000000.0,62788218.0
968,Dog Day Afternoon,1975,5,2016-08-19,False,3.9,1646,125,Crime|Drama|Thriller,1800000.0,46665856.0
11368,Blood Simple ,1984,3,2016-08-20,False,3.7,706,97,Crime|Drama|Thriller,1500000.0,3851855.0
321741,Concussion,2015,4,2016-08-21,False,3.55,1778,123,Drama,35000000.0,50363790.0
855,Black Hawk Down,2001,4,2016-08-22,False,3.65,3599,145,Action|History|War,92000000.0,172989651.0
11336,The Dead Zone,1983,4,2016-08-26,False,3.5,792,103,Thriller|Horror|Science Fiction,10000000.0,20766616.0
2252,Eastern Promises,2007,4,2016-08-28,False,3.65,1951,100,Thriller|Crime|Mystery,51500000.0,56106607.0
153,Lost in Translation,2003,4,2016-08-31,False,3.7,4399,102,Drama|Romance|Comedy,4000000.0,119723856.0
192,The Name of The Rose,1986,4,2016-09-01,False,3.7,1854,130,Drama|Thriller|Mystery,20000000.0,7153487.0
13475,Star Trek,2009,4,2016-09-04,False,3.7,7241,127,Science Fiction|Action|Adventure,150000000.0,385680446.0
11206,Wait Until Dark,1967,5,2016-09-12,False,3.7,274,108,Horror|Crime|Thriller,4000000.0,11000000.0
300669,Don't Breathe,2016,5,2016-09-16,True,3.45,4531,89,Crime|Horror|Thriller,9900000.0,159047649.0
553,Dogville,2003,4,2016-09-18,False,3.9,1520,178,Crime|Drama|Thriller,10000000.0,16680836.0
283366,Miss Peregrine's Home for Peculiar Children,2016,3,2016-10-09,True,3.35,7182,127,Drama|Fantasy|Adventure|Family,110000000.0,296482446.0
45094,Conviction,2010,4,2016-10-16,False,3.55,364,107,Drama,12500000.0,6732980.0
335796,Ouija: Origin of Evil,2016,3,2016-10-24,True,3.0,1666,99,Horror|Thriller,9000000.0,81705746.0
