ID,Genres,Rating,Vote Average
330459,Action,4,3.75
330459,Adventure,4,3.75
330459,SciFi,4,3.75
9631,Action,5,3.5
9631,Crime,5,3.5
9631,Drama,5,3.5
9631,Thriller,5,3.5
329440,Horror,3,2.55
329440,Thriller,3,2.55
329440,Mystery,3,2.55
302946,Crime,3,3.5
302946,Thriller,3,3.5
302946,Drama,3,3.5
345911,Thriller,4,3.15
345911,Mystery,4,3.15
345911,Horror,4,3.15
345911,Drama,4,3.15
313369,Comedy,5,3.95
313369,Drama,5,3.95
313369,Romance,5,3.95
313369,Music,5,3.95
376867,Drama,5,3.7
346685,Crime,2,3.2
346685,Drama,2,3.2
346685,Mystery,2,3.2
346685,Romance,2,3.2
346685,Thriller,2,3.2
334541,Drama,4,3.75
338766,Crime,4,3.65
338766,Western,4,3.65
393457,Drama,3,3.4
381284,Drama,4,4.0
381284,History,4,4.0
263115,Action,4,3.9
263115,Drama,4,3.9
263115,SciFi,4,3.9
377462,Documentary,5,4.3
75638,Thriller,2,3.05
381288,Horror,4,3.65
381288,Thriller,4,3.65
68730,Drama,3,3.55
68730,History,3,3.55
245891,Action,4,3.65
245891,Thriller,4,3.65
315837,Action,3,3.0
315837,SciFi,3,3.0
315837,Thriller,3,3.0
315837,Drama,3,3.0
363676,Drama,3,3.55
363676,History,3,3.55
283995,Action,4,3.8
283995,Adventure,4,3.8
283995,Comedy,4,3.8
283995,SciFi,4,3.8
419430,Mystery,4,3.8
419430,Thriller,4,3.8
419430,Horror,4,3.8
397243,Horror,3,3.3
397243,Mystery,3,3.3
297762,Action,4,3.65
297762,Action,4,3.65
297762,Adventure,4,3.65
297762,Adventure,4,3.65
297762,Fantasy,4,3.65
297762,Fantasy,4,3.65
324552,Thriller,3,3.6
324552,Action,3,3.6
324552,Crime,3,3.6
395992,Horror,3,3.2
395992,SciFi,3,3.2
395992,Thriller,3,3.2
9693,Drama,3,3.8
9693,Action,3,3.8
9693,Thriller,3,3.8
9693,SciFi,3,3.8
120,Adventure,4,4.15
120,Fantasy,4,4.15
120,Action,4,4.15
61791,Thriller,4,3.6
61791,Action,4,3.6
61791,Drama,4,3.6
61791,SciFi,4,3.6
119450,SciFi,4,3.65
119450,Action,4,3.65
119450,Drama,4,3.65
119450,Thriller,4,3.65
328387,Mystery,3,3.55
328387,Adventure,3,3.55
328387,Crime,3,3.55
315635,Action,4,3.7
315635,Adventure,4,3.7
315635,SciFi,4,3.7
315635,Drama,4,3.7
411088,Mystery,3,4.1
411088,Crime,3,4.1
411088,Thriller,3,4.1
65086,Drama,3,3.05
65086,Horror,3,3.05
65086,Thriller,3,3.05
374720,War,4,3.7
374720,Action,4,3.7
374720,Drama,4,3.7
18405,Crime,3,3.2
18405,Thriller,3,3.2
18405,Horror,3,3.2
18405,Drama,3,3.2
281338,Drama,5,3.55
281338,SciFi,5,3.55
281338,War,5,3.55
306947,Thriller,3,3.25
12477,Animation,5,4.2
12477,Drama,5,4.2
12477,War,5,4.2
372058,Romance,4,4.3
372058,Animation,4,4.3
372058,Drama,4,4.3
9323,Action,3,3.95
9323,Animation,3,3.95
9323,SciFi,3,3.95
351460,Fantasy,1,2.1
351460,Horror,1,2.1
351460,Mystery,1,2.1
351460,Thriller,1,2.1
396422,Horror,3,3.25
396422,Horror,4,3.25
396422,Mystery,3,3.25
396422,Mystery,4,3.25
396422,Thriller,3,3.25
396422,Thriller,4,3.25
418078,Horror,2,2.9
418078,Mystery,2,2.9
418078,Drama,2,2.9
7446,Action,4,3.3
7446,Comedy,4,3.3
7446,Adventure,4,3.3
7446,War,4,3.3
345938,Drama,2,3.6
345938,Fantasy,2,3.6
346364,Horror,5,3.6
238,Drama,5,4.35
238,Crime,5,4.35
381283,Drama,4,3.5
381283,Horror,4,3.5
381283,Mystery,4,3.5
335984,SciFi,5,3.7
335984,Drama,5,3.7
339403,Action,4,3.75
339403,Crime,4,3.75
343674,Drama,3,3.2
343674,Horror,3,3.2
343674,Thriller,3,3.2
284053,Action,3,3.8
284053,Adventure,3,3.8
284053,Comedy,3,3.8
284053,Fantasy,3,3.8
395834,Crime,3,3.7
395834,Drama,3,3.7
395834,Mystery,3,3.7
395834,Thriller,3,3.7
141052,Action,3,3.1
141052,Adventure,3,3.1
141052,Fantasy,3,3.1
141052,SciFi,3,3.1
269149,Animation,4,3.85
269149,Adventure,4,3.85
269149,Family,4,3.85
269149,Comedy,4,3.85
294016,Drama,4,3.6
400106,Action,3,3.1
400106,Crime,3,3.1
400106,SciFi,3,3.1
400106,Thriller,3,3.1
181808,SciFi,4,3.5
181808,Action,4,3.5
181808,Adventure,4,3.5
297762,Action,4,3.65
297762,Action,4,3.65
297762,Adventure,4,3.65
297762,Adventure,4,3.65
297762,Fantasy,4,3.65
297762,Fantasy,4,3.65
21208,Horror,3,3.45
21208,Thriller,3,3.45
21208,Mystery,3,3.45
2898,Comedy,3,3.7
2898,Romance,3,3.7
49018,Horror,3,3.45
49018,Thriller,3,3.45
446354,Drama,3,3.5
446354,History,3,3.5
392044,Crime,3,3.35
392044,Drama,3,3.35
392044,Mystery,3,3.35
399055,Drama,4,3.6
399055,Fantasy,4,3.6
399055,Romance,4,3.6
429200,Crime,3,3.6
429200,Drama,3,3.6
429200,Thriller,3,3.6
284054,Action,3,3.7
284054,Adventure,3,3.7
284054,Fantasy,3,3.7
284054,SciFi,3,3.7
359940,Crime,4,4.05
359940,Drama,4,4.05
354912,Animation,4,4.1
354912,Family,4,4.1
354912,Comedy,4,4.1
354912,Adventure,4,4.1
354912,Fantasy,4,4.1
300668,SciFi,3,3.15
300668,Horror,3,3.15
333339,Adventure,3,3.8
333339,SciFi,3,3.8
447332,Horror,4,3.65
447332,Drama,4,3.65
447332,SciFi,4,3.65
91586,Horror,3,3.3
91586,Thriller,3,3.3
280092,Drama,3,3.15
280092,Horror,3,3.15
280092,Thriller,3,3.15
862,Animation,5,3.95
862,Comedy,5,3.95
862,Family,5,3.95
9487,Adventure,4,3.45
9487,Animation,4,3.45
9487,Comedy,4,3.45
9487,Family,4,3.45
299536,Adventure,4,4.15
299536,Action,4,4.15
299536,SciFi,4,4.15
863,Animation,3,3.75
863,Comedy,3,3.75
863,Family,3,3.75
585,Animation,4,3.9
585,Comedy,4,3.9
585,Family,4,3.9
371638,Comedy,4,3.6
371638,Drama,4,3.6
353486,Action,3,3.4
353486,Adventure,3,3.4
353486,Comedy,3,3.4
353486,Fantasy,3,3.4
383498,Action,3,3.75
383498,Comedy,3,3.75
383498,Adventure,3,3.75
343668,Action,3,3.5
343668,Adventure,3,3.5
343668,Comedy,3,3.5
425972,Drama,3,3.15
425972,Thriller,3,3.15
425972,Adventure,3,3.15
425972,Horror,3,3.15
49047,SciFi,5,3.6
49047,Thriller,5,3.6
49047,Drama,5,3.6
401981,Mystery,3,3.25
401981,Thriller,3,3.25
260513,Action,5,3.75
260513,Adventure,5,3.75
260513,Animation,5,3.75
260513,Family,5,3.75
334533,Adventure,4,4.0
334533,Comedy,4,4.0
334533,Drama,4,4.0
363088,Action,3,3.5
363088,Adventure,3,3.5
363088,SciFi,3,3.5
363088,Comedy,3,3.5
338970,Action,3,3.15
338970,Adventure,3,3.15
338970,Fantasy,3,3.15
476299,Horror,3,3.6
476299,Mystery,3,3.6
476299,Thriller,3,3.6
345,Mystery,4,3.7
345,Drama,4,3.7
345,Thriller,4,3.7
56292,Action,3,3.5
56292,Thriller,3,3.5
56292,Adventure,3,3.5
353081,Action,3,3.7
353081,Adventure,3,3.7
281,Crime,3,3.5
281,Drama,3,3.5
281,SciFi,3,3.5
281,Thriller,3,3.5
493922,Horror,4,3.55
493922,Mystery,4,3.55
493922,Thriller,4,3.55
500664,Action,3,3.75
500664,Thriller,3,3.75
500664,SciFi,3,3.75
500664,Horror,3,3.75
393519,Drama,3,3.55
393519,Horror,3,3.55
393519,Mystery,3,3.55
6114,Romance,4,3.7
6114,Horror,4,3.7
162,Fantasy,4,3.85
162,Drama,4,3.85
162,Romance,4,3.85
439079,Horror,3,2.85
439079,Mystery,3,2.85
439079,Thriller,3,2.85
259693,Horror,5,3.6
259693,Horror,5,3.6
259693,Mystery,5,3.6
259693,Mystery,5,3.6
259693,Thriller,5,3.6
259693,Thriller,5,3.6
489999,Thriller,4,3.8
489999,Mystery,4,3.8
489999,Drama,4,3.8
335983,SciFi,3,3.35
335983,Action,3,3.35
318256,Documentary,3,3.0
22538,Action,4,3.7
22538,Comedy,4,3.7
22538,Romance,4,3.7
22538,Music,4,3.7
22538,Fantasy,4,3.7
351286,Action,3,3.25
351286,Adventure,3,3.25
351286,SciFi,3,3.25
