ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue,Overview
1091,The Thing,1982,5,2016-06-10,False,4.0,4006,109,Horror|Mystery|SciFi,15000000,19629760,"Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart."
9426,The Fly,1986,4,2016-06-11,False,3.65,2554,96,Horror|SciFi,15000000,60629159,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one."
11423,Memories of Murder,2003,4,2016-06-12,False,4.05,1718,131,Crime|Drama|Thriller,2800000,26000000,"1986 Gyunggi Province. The body of a young woman is found brutally raped and murdered. Two months later, a series of rapes and murders commences under similar circumstances. And in a country that had never known such crimes, the dark whispers about a serial murderer grow louder. A special task force is set up in the area, with two local detectives Park Doo-Man and Jo Young-Goo joined by a detective from Seoul who requested to be assigned to the case."
259693,The Conjuring 2,2016,5,2016-06-15,True,3.6,5230,134,Horror|Mystery|Thriller,40000000,320392818,Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.
4553,The Machinist,2004,5,2016-06-18,False,3.75,3258,101,Thriller|Drama,5000000,8203235,"The Machinist is the story of Trevor Reznik, a lathe-operator who is suffering from insomnia. In a machine shop, occupational hazards are bad enough under normal circumstances; yet for Trevor the risks are compounded by fatigue. Trevor has lost the ability to sleep. This is no ordinary insomnia..."
181886,Enemy,2013,4,2016-06-18,False,3.45,3725,91,Thriller|Mystery,0,3396726,A mild-mannered college professor discovers a look-alike actor and delves into the other man's private affairs.
82633,Lawless,2012,4,2016-06-19,False,3.5,2014,115,Crime|Drama|Western,26000000,53676580,"Set in the Depression-era Franklin County, Virginia, a bootlegging gang is threatened by authorities who want a cut of their profits."
24253,A Menina Que Brincava Com Fogo,2009,4,2016-06-21,False,3.5,1104,186,Drama|Action|Thriller|Crime|Mystery,4422952,67126795,"Mikael Blomkvist, publisher of Millennium magazine, has made his living exposing the crooked and corrupt practices of establishment Swedish figures. So when a young journalist approaches him with a meticulously researched thesis about sex trafficking in Sweden and those in high office who abuse underage girls, Blomkvist immediately throws himself into the investigation."
426,Vertigo,1958,4,2016-06-21,False,4.1,3454,128,Mystery|Romance|Thriller,2479000,28000000,"A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend's wife, all the while becoming dangerously obsessed with her."
23629,Sucker Punch,2011,3,2016-06-23,False,3.05,3288,110,Action|Fantasy|Thriller,82000000,89792502,"A young girl is institutionalized by her abusive stepfather. Retreating to an alternative reality as a coping strategy, she envisions a plan which will help her escape from the mental facility."
262,The King of Comedy,1982,5,2016-06-23,False,3.9,1203,109,Comedy|Drama,20000000,0,"Aspiring comic Rupert Pupkin attempts to achieve success in show business by stalking his idol, a late night talk-show host who craves his own privacy."
451,Leaving Las Vegas,1995,4,2016-06-26,False,3.6,770,112,Drama|Romance,3600000,49800000,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera."
11906,Suspiria,1977,3,2016-06-30,False,3.8,1640,99,Horror,0,2884265,An American newcomer to a prestigious German ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.
1359,American Psycho,2000,4,2016-06-30,False,3.65,5701,102,Thriller|Drama|Crime|Horror,7000000,34266564,"A wealthy New York investment banking executive hides his alternate psychopathic ego from his co-workers and friends as he escalates deeper into his illogical, gratuitous fantasies."
207,Dead Poets Society,1989,4,2016-07-03,False,4.15,7309,128,Drama,16400000,235860116,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster."
164457,Out of the Furnace,2013,3,2016-07-03,False,3.25,1319,116,Thriller|Drama|Crime,22000000,15400000,"Two brothers live in the economically-depressed Rust Belt, when a cruel twist of fate lands one in prison. His brother is then lured into one of the most violent crime rings in the Northeast."
127380,Finding Dory,2016,4,2016-07-03,True,3.5,9178,97,Adventure|Animation|Comedy|Family,200000000,1028570889,Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?
6145,Fracture,2007,3,2016-07-10,False,3.65,2372,113,Thriller,10000000,91354215,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other."
64690,Drive,2011,5,2016-07-14,False,3.8,8443,100,Drama|Thriller|Crime,15000000,78054825,"Driver is a skilled Hollywood stuntman who moonlights as a getaway driver for criminals. Though he projects an icy exterior, lately he's been warming up to a pretty neighbor named Irene and her young son, Benicio. When Irene's husband gets out of jail, he enlists Driver's help in a million-dollar heist. The job goes horribly wrong, and Driver must risk his life to protect Irene and Benicio from the vengeful masterminds behind the robbery."
1538,Collateral,2004,4,2016-07-17,False,3.6,3300,120,Drama|Crime|Thriller,65000000,217764291,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.
37903,A Fita Branca,2009,3,2016-07-22,False,3.75,608,144,Drama|Mystery,15238800,0,"Strange events happen in a small village in the north of Germany during the years just before World War I, which seem to be ritual punishment. The abused and suppressed children of the villagers seem to be at the heart of this mystery."
13016,Zeitgeist,2007,3,2016-07-25,False,3.5,310,118,Documentary|History,7000000,0,"Zeitgeist: the Movie is a 2007 documentary film by Peter Joseph examining possible historical and modern conspiracies surrounding Christianity, the September 11, 2001 terrorist attacks and the Federal Reserve bank. It was officially released online on June 18, 2007 on www.ZeitgeistMovie.com"
