ID,Movie,Year,Rating,Watched,Cinema,Vote Average,Vote Count,Runtime,Genres,Budget,Revenue
650,Boyz n the Hood,1991,4,2016-11-05,False,3.75,925,112,,6500000,57504069
54138,Star Trek Into Darkness,2013,3,2016-11-07,False,3.65,6987,132,,190000000,467365246
671,Harry Potter and the Sorcerer's Stone,2001,4,2016-11-13,False,3.95,17498,152,,125000000,976475550
672,Harry Potter and the Chamber of Secrets,2002,4,2016-11-13,False,3.85,14578,161,,100000000,876688482
673,Harry Potter and the Prisoner of Azkaban,2004,5,2016-11-14,False,4.0,14218,141,,130000000,789804554
674,Harry Potter and the Goblet of Fire,2005,4,2016-11-06,False,3.9,13616,157,,150000000,895921036
259316,Fantastic Beast and Where to Find Them,2016,4,2016-11-17,True,3.7,14211,133,,180000000,809342332
675,Harry Potter and the Order of Phoenix,2007,4,2016-11-26,False,3.85,13218,138,,150000000,938212738
767,Harry Potter and the Half-Blood Prince,2009,4,2016-11-27,False,3.85,12923,153,,250000000,933959197
12444,Harry Potter and the Deathly Hallows Part I,2010,4,2016-12-11,True,3.9,13064,146,,250000000,954305868
329865,Arrival,2016,4,2016-12-14,False,3.75,12466,116,,47000000,203388186
12445,Harry Potter and the Deathly Hallows Part II,2011,5,2016-12-18,False,4.05,14037,130,,125000000,1341511219
8681,Taken,2008,4,2016-12-19,False,3.65,7917,94,,25000000,226830568
330459,Rogue One,2016,4,2016-12-19,True,3.75,11118,133,,200000000,1056057273
9631,The Negotiator,1998,5,2016-12-24,False,3.5,1213,140,,50000000,44547681
329440,The Forest,2016,3,2016-12-27,False,2.55,1220,95,,10000000,37608299
302946,The Accountant,2016,3,2016-12-28,False,3.5,4024,128,,44000000,155160045
345911,Lights Out,2016,4,2016-12-30,False,3.15,2717,81,,4900000,148868835
313369,La La Land,2016,5,2017-01-17,False,3.95,12113,129,,30000000,446486224
376867,Moonlight,2016,5,2017-01-21,False,3.7,5007,111,,4000000,65046687
346685,The Girl on The Train,2016,2,2017-01-22,False,3.2,4247,112,,45000000,173185859
334541,Manchester by the Sea,2016,4,2017-01-26,False,3.75,4001,138,,9000000,78988148
338766,Hell or High Water,2016,4,2017-02-01,False,3.65,3009,102,,12000000,37589296
393457,Fences,2016,3,2017-02-04,True,3.4,1779,139,,24000000,64414761
381284,Hidden Figures,2016,4,2017-02-09,True,4.0,6004,127,,25000000,230698791
263115,Logan,2017,4,2017-03-02,False,3.9,14548,137,,97000000,619021436
377462,O.J.: Made in America,2016,5,2017-03-18,False,4.3,137,467,,0,0
75638,Red Lights,2012,2,2017-03-18,False,3.05,760,119,,14000000,13551174
381288,Split,2017,4,2017-03-24,True,3.65,12619,117,,9000000,278454358
68730,Silence,2016,3,2017-03-25,False,3.55,2057,161,,46000000,23737523
